التاريخ,الوقت,النادي,المبلغ,ملاحظات
2026-08-29,16:30,سانتوس,,
2026-09-04,17:00,الرحاب يد,1400,
2026-09-04,18:30,الرحاب يد,1300,
2026-09-04,20:00,الرحاب يد,1200,
2026-09-05,18:00,الرحاب يد,,
2026-09-05,19:30,الرحاب يد,,
2026-09-18,17:00,الرحاب يد,,
2026-09-18,18:30,الرحاب يد,,
2026-09-18,20:00,الرحاب يد,,
2026-09-19,16:30,سانتوس,,
2026-10-03,15:30,سانتوس,,
2026-10-17,15:30,سانتوس,,
2026-10-31,14:30,سانتوس,,
2026-11-14,14:30,سانتوس,,
2026-12-12,14:30,سانتوس,,
2026-12-26,14:30,سانتوس,,
2027-01-16,14:30,سانتوس,,
2027-01-30,14:30,سانتوس,,
2027-03-20,14:30,سانتوس,,
2027-04-10,14:30,سانتوس,,
